省市別,縣市別,選區別,鄉鎮市區,村里別,投開票所,候選人號次,得票數,得票率,當選註記
63,000,01,010,0022,1484,1,36,4.35, 
63,000,01,010,0022,1484,2,377,45.59, 
63,000,01,010,0022,1484,3,414,50.06,*
63,000,01,010,0022,1485,1,45,4.93, 
63,000,01,010,0022,1485,2,428,46.88, 
63,000,01,010,0022,1485,3,440,48.19,*
63,000,01,010,0024,1486,1,38,3.75, 
63,000,01,010,0024,1486,2,428,42.21, 
63,000,01,010,0024,1486,3,548,54.04,*
63,000,01,010,0024,1487,1,50,4.61, 
63,000,01,010,0024,1487,2,407,37.55, 
63,000,01,010,0024,1487,3,627,57.84,*
63,000,01,010,0024,1488,1,39,3.9, 
63,000,01,010,0024,1488,2,432,43.24, 
63,000,01,010,0024,1488,3,528,52.85,*
63,000,01,010,0024,1489,1,42,3.95, 
63,000,01,010,0024,1489,2,415,39.04, 
63,000,01,010,0024,1489,3,606,57.01,*
63,000,01,010,0024,1490,1,47,4.53, 
63,000,01,010,0024,1490,2,421,40.6, 
63,000,01,010,0024,1490,3,569,54.87,*
63,000,01,010,0025,1491,1,39,3.78, 
63,000,01,010,0025,1491,2,489,47.38, 
63,000,01,010,0025,1491,3,504,48.84,*
63,000,01,010,0025,1492,1,42,4.57, 
63,000,01,010,0025,1492,2,431,46.85, 
63,000,01,010,0025,1492,3,447,48.59,*
63,000,01,010,0025,1493,1,49,3.89, 
63,000,01,010,0025,1493,2,595,47.26, 
63,000,01,010,0025,1493,3,615,48.85,*
63,000,01,010,0025,1494,1,53,5.72, 
63,000,01,010,0025,1494,2,394,42.55, 
63,000,01,010,0025,1494,3,479,51.73,*
63,000,01,010,0026,1495,1,39,3.93, 
63,000,01,010,0026,1495,2,384,38.71, 
63,000,01,010,0026,1495,3,569,57.36,*
63,000,01,010,0026,1496,1,46,5.19, 
63,000,01,010,0026,1496,2,323,36.46, 
63,000,01,010,0026,1496,3,517,58.35,*
63,000,01,010,0026,1497,1,45,4.81, 
63,000,01,010,0026,1497,2,412,44.06, 
63,000,01,010,0026,1497,3,478,51.12,*
63,000,01,010,0026,1498,1,42,4.61, 
63,000,01,010,0026,1498,2,367,40.29, 
63,000,01,010,0026,1498,3,502,55.1,*
63,000,01,010,0026,1499,1,38,3.82, 
63,000,01,010,0026,1499,2,339,34.04, 
63,000,01,010,0026,1499,3,619,62.15,*
63,000,01,010,0026,1500,1,48,4.66, 
63,000,01,010,0026,1500,2,427,41.5, 
63,000,01,010,0026,1500,3,554,53.84,*
63,000,01,010,0027,1501,1,35,3.99, 
